universal_concept_id,source_ref_id,standardized_domain,target_age_nominal_months,age_window_min_days,age_window_max_days,description_en,description_pt,statistical_threshold,is_red_flag,risk_factor_dependency
SOCIAL-CALMS_DOWN_WITHIN_10_MINUTES_AFTER_YOU_L,CDC_36M_SOC_1,SOCIAL_EMOTIONAL,36.0,1090,1120,"Calms down within 10 minutes after you leave her, like at a childcare drop off","Acalma-se dentro de 10 minutos após você sair, como em uma entrega na creche",P75,FALSE,
SOCIAL-NOTICES_OTHER_CHILDREN_AND_JOINS_THEM_TO,CDC_36M_SOC_2,SOCIAL_EMOTIONAL,36.0,1090,1120,Notices other children and joins them to play,Percebe outras crianças e junta-se a elas para brincar,P75,FALSE,
COMM-TALKS_WITH_YOU_IN_CONVERSATION_USING_AT_,CDC_36M_COM_1,COMMUNICATION,36.0,1090,1120,Talks with you in conversation using at least two back-and-forth exchanges,Conversa com você usando pelo menos duas trocas de ida e volta,P75,FALSE,
COMM-ASKS_WHO_WHAT_WHERE_OR_WHY_QUESTIONS_LIK,CDC_36M_COM_2,COMMUNICATION,36.0,1090,1120,"Asks “who,” “what,” “where,” or “why” questions, like “Where is mommy/daddy?”","Faz perguntas de “quem”, “o que”, “onde” ou “por quê”, como: “Onde está a mamãe/papai?”",P75,FALSE,
COMM-SAYS_WHAT_ACTION_IS_HAPPENING_IN_A_PICTU,CDC_36M_COM_3,COMMUNICATION,36.0,1090,1120,"Says what action is happening in a picture or book when asked, like “running,” “eating,” or “playing”","Diz qual ação está acontecendo em uma imagem ou livro quando perguntado, como “correndo”, “comendo” ou “brincando”",P75,FALSE,
COMM-SAYS_FIRST_NAME_WHEN_ASKED,CDC_36M_COM_4,COMMUNICATION,36.0,1090,1120,"Says first name, when asked",Diz o primeiro nome quando perguntado,P75,FALSE,
COMM-TALKS_WELL_ENOUGH_FOR_OTHERS_TO_UNDERSTA,CDC_36M_COM_5,COMMUNICATION,36.0,1090,1120,"Talks well enough for others to understand, most of the time","Fala bem o bastante para que outras pessoas entendam, na maior parte do tempo",P75,FALSE,
COGNITIVE-DRAWS_A_CIRCLE_WHEN_YOU_SHOW_HIM_HOW,CDC_36M_COG_1,COGNITIVE,36.0,1090,1120,"Draws a circle, when you show him how",Desenha um círculo quando você mostra como,P75,FALSE,
COGNITIVE-AVOIDS_TOUCHING_HOT_OBJECTS_LIKE_A_STOVE,CDC_36M_COG_2,COGNITIVE,36.0,1090,1120,"Avoids touching hot objects, like a stove, when you warn her","Evita tocar em objetos quentes, como um fogão, quando você a alerta",P75,FALSE,
MOTF-STRINGS_ITEMS_TOGETHER_LIKE_LARGE_BEADS_,CDC_36M_MOTF_1,MOTOR_FINE,36.0,1090,1120,"Strings items together, like large beads or macaroni","Enfia itens em sequência, como contas grandes ou macarrão",P75,FALSE,
MOTF-TAKES_SOME_CLOTHES_OFF_BY_HIMSELF_LIKE_L,CDC_36M_MOTF_2,MOTOR_FINE,36.0,1090,1120,"Puts on some clothes by himself, like loose pants or a jacket","Veste algumas roupas sozinho, como calças folgadas ou uma jaqueta",P75,FALSE,
MOTF-USES_A_FORK,CDC_36M_MOTF_3,MOTOR_FINE,36.0,1090,1120,Uses a fork,Usa um garfo,P75,FALSE,
SOCIAL-PRETENDS_TO_BE_SOMETHING_ELSE_DURING_PLA,CDC_48M_SOC_1,SOCIAL_EMOTIONAL,48.0,1460,1490,"Pretends to be something else during play (teacher, superhero, dog)","Finge ser outra coisa durante a brincadeira (professor, super-herói, cachorro)",P75,FALSE,
SOCIAL-ASKS_TO_GO_PLAY_WITH_CHILDREN_IF_NONE_AR,CDC_48M_SOC_2,SOCIAL_EMOTIONAL,48.0,1460,1490,"Asks to go play with children if none are around, like “Can I play with Alex?”","Pede para ir brincar com crianças se não houver nenhuma por perto, como: “Posso brincar com o Alex?”",P75,FALSE,
SOCIAL-COMFORTS_OTHERS_WHO_ARE_HURT_OR_SAD_LIKE,CDC_48M_SOC_3,SOCIAL_EMOTIONAL,48.0,1460,1490,"Comforts others who are hurt or sad, like hugging a crying friend","Conforta outras pessoas que estão machucadas ou tristes, como abraçar um amigo que está chorando",P75,FALSE,
SOCIAL-AVOIDS_DANGER_LIKE_NOT_JUMPING_FROM_TALL,CDC_48M_SOC_4,SOCIAL_EMOTIONAL,48.0,1460,1490,"Avoids danger, like not jumping from tall heights at the playground","Evita perigo, como não pular de lugares altos no parquinho",P75,FALSE,
SOCIAL-LIKES_TO_BE_A_HELPER,CDC_48M_SOC_5,SOCIAL_EMOTIONAL,48.0,1460,1490,Likes to be a “helper”,Gosta de ser um “ajudante”,P75,FALSE,
SOCIAL-CHANGES_BEHAVIOR_BASED_ON_WHERE_SHE_IS_P,CDC_48M_SOC_6,SOCIAL_EMOTIONAL,48.0,1460,1490,"Changes behavior based on where she is (place of worship, library, playground)","Muda o comportamento conforme onde está (local de culto, biblioteca, parquinho)",P75,FALSE,
COMM-SAYS_SENTENCES_WITH_FOUR_OR_MORE_WORDS,CDC_48M_COM_1,COMMUNICATION,48.0,1460,1490,Says sentences with four or more words,Diz frases com quatro ou mais palavras,P75,FALSE,
COMM-SAYS_SOME_WORDS_FROM_A_SONG_STORY_OR_NUR,CDC_48M_COM_2,COMMUNICATION,48.0,1460,1490,"Says some words from a song, story, or nursery rhyme","Diz algumas palavras de uma canção, história ou parlenda",P75,FALSE,
COMM-TALKS_ABOUT_AT_LEAST_ONE_THING_THAT_HAPP,CDC_48M_COM_3,COMMUNICATION,48.0,1460,1490,"Talks about at least one thing that happened during her day, like “I played soccer.”","Fala sobre pelo menos uma coisa que aconteceu no seu dia, como: “Eu joguei futebol.”",P75,FALSE,
COMM-ANSWERS_SIMPLE_QUESTIONS_LIKE_WHAT_IS_A_,CDC_48M_COM_4,COMMUNICATION,48.0,1460,1490,Answers simple questions like “What is a coat for?” or “What is a crayon for?”,Responde a perguntas simples como “Para que serve um casaco?” ou “Para que serve um giz de cera?”,P75,FALSE,
COGNITIVE-NAMES_A_FEW_COLORS_OF_ITEMS,CDC_48M_COG_1,COGNITIVE,48.0,1460,1490,Names a few colors of items,Nomeia algumas cores de objetos,P75,FALSE,
COGNITIVE-TELLS_WHAT_COMES_NEXT_IN_A_WELLKNOWN_STO,CDC_48M_COG_2,COGNITIVE,48.0,1460,1490,Tells what comes next in a well-known story,Conta o que vem depois em uma história conhecida,P75,FALSE,
COGNITIVE-DRAWS_A_PERSON_WITH_THREE_OR_MORE_BODY_P,CDC_48M_COG_3,COGNITIVE,48.0,1460,1490,Draws a person with three or more body parts,Desenha uma pessoa com três ou mais partes do corpo,P75,FALSE,
MOTOR_GROSS-CATCHES_A_LARGE_BALL_MOST_OF_THE_TIME,CDC_48M_MOT_1,MOTOR_GROSS,48.0,1460,1490,Catches a large ball most of the time,Pega uma bola grande na maioria das vezes,P75,FALSE,
MOTF-SERVES_HERSELF_FOOD_OR_POURS_WATER_WITH_,CDC_48M_MOTF_1,MOTOR_FINE,48.0,1460,1490,"Serves herself food or pours water, with adult supervision","Serve-se de comida ou despeja água, com supervisão de um adulto",P75,FALSE,
MOTF-UNBUTTONS_SOME_BUTTONS,CDC_48M_MOTF_2,MOTOR_FINE,48.0,1460,1490,Unbuttons some buttons,Desabotoa alguns botões,P75,FALSE,
MOTF-HOLDS_CRAYON_OR_PENCIL_BETWEEN_FINGERS_A,CDC_48M_MOTF_3,MOTOR_FINE,48.0,1460,1490,Holds crayon or pencil between fingers and thumb (not a fist),Segura o giz de cera ou lápis entre os dedos e o polegar (não em punho),P75,FALSE,
SOCIAL-FOLLOWS_RULES_OR_TAKES_TURNS_WHEN_PLAYIN,CDC_60M_SOC_1,SOCIAL_EMOTIONAL,60.0,1825,1855,Follows rules or takes turns when playing games with other children,Segue regras ou espera a sua vez ao brincar com outras crianças,P75,FALSE,
SOCIAL-SINGS_DANCES_OR_ACTS_FOR_YOU,CDC_60M_SOC_2,SOCIAL_EMOTIONAL,60.0,1825,1855,"Sings, dances, or acts for you","Canta, dança ou atua para você",P75,FALSE,
SOCIAL-DOES_SIMPLE_CHORES_AT_HOME_LIKE_MATCHING,CDC_60M_SOC_3,SOCIAL_EMOTIONAL,60.0,1825,1855,"Does simple chores at home, like matching socks or clearing the table after eating","Faz tarefas simples em casa, como juntar meias ou tirar a mesa depois de comer",P75,FALSE,
COMM-TELLS_A_STORY_SHE_HEARD_OR_MADE_UP_WITH_,CDC_60M_COM_1,COMMUNICATION,60.0,1825,1855,"Tells a story she heard or made up with at least two events. For example, a cat was stuck in a tree and a firefighter saved it","Conta uma história que ouviu ou inventou com pelo menos dois acontecimentos. Por exemplo, um gato ficou preso em uma árvore e um bombeiro o salvou",P75,FALSE,
COMM-ANSWERS_SIMPLE_QUESTIONS_ABOUT_A_BOOK_OR,CDC_60M_COM_2,COMMUNICATION,60.0,1825,1855,Answers simple questions about a book or story after you read or tell it to him,Responde a perguntas simples sobre um livro ou história depois que você lê ou conta para ele,P75,FALSE,
COMM-KEEPS_A_CONVERSATION_GOING_WITH_MORE_THA,CDC_60M_COM_3,COMMUNICATION,60.0,1825,1855,Keeps a conversation going with more than three back-and-forth exchanges,Mantém uma conversa com mais de três trocas de ida e volta,P75,FALSE,
COMM-USES_OR_RECOGNIZES_SIMPLE_RHYMES_BATCAT_,CDC_60M_COM_4,COMMUNICATION,60.0,1825,1855,"Uses or recognizes simple rhymes (bat-cat, ball-tall)","Usa ou reconhece rimas simples (bat-cat, ball-tall)",P75,FALSE,
COGNITIVE-COUNTS_TO_10,CDC_60M_COG_1,COGNITIVE,60.0,1825,1855,Counts to 10,Conta até 10,P75,FALSE,
COGNITIVE-NAMES_SOME_NUMBERS_BETWEEN_1_AND_5_WHEN_,CDC_60M_COG_2,COGNITIVE,60.0,1825,1855,Names some numbers between 1 and 5 when you point to them,Nomeia alguns números entre 1 e 5 quando você aponta para eles,P75,FALSE,
COGNITIVE-USES_WORDS_ABOUT_TIME_LIKE_YESTERDAY_TOM,CDC_60M_COG_3,COGNITIVE,60.0,1825,1855,"Uses words about time, like “yesterday,” “tomorrow,” “morning,” or “night”","Usa palavras sobre tempo, como “ontem”, “amanhã”, “manhã” ou “noite”",P75,FALSE,
COGNITIVE-PAYS_ATTENTION_FOR_5_TO_10_MINUTES_DURIN,CDC_60M_COG_4,COGNITIVE,60.0,1825,1855,"Pays attention for 5 to 10 minutes during activities. For example, during story time or making arts and crafts (screen time does not count)","Presta atenção por 5 a 10 minutos durante atividades. Por exemplo, durante a hora da história ou fazendo artes e trabalhos manuais (tempo de tela não conta)",P75,FALSE,
COGNITIVE-WRITES_SOME_LETTERS_IN_HER_NAME,CDC_60M_COG_5,COGNITIVE,60.0,1825,1855,Writes some letters in her name,Escreve algumas letras do seu nome,P75,FALSE,
COGNITIVE-NAMES_SOME_NUMBERS_BETWEEN_1_AND_5_WHEN_,CDC_60M_COG_6,COGNITIVE,60.0,1825,1855,Names some letters when you point to them,Nomeia algumas letras quando você aponta para elas,P75,FALSE,
MOTF-UNBUTTONS_SOME_BUTTONS,CDC_60M_MOTF_1,MOTOR_FINE,60.0,1825,1855,Buttons some buttons,Abotoa alguns botões,P75,FALSE,
MOTOR_GROSS-HOPS_ON_ONE_FOOT,CDC_60M_MOT_1,MOTOR_GROSS,60.0,1825,1855,Hops on one foot,Pula em um pé,P75,FALSE,
